rank,Artists,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
76,Tainy Bad Bunny Julieta Venegas,Lo Siento BB with Bad Bunny and Julieta Venegas,Neon16,12,76,41,8281898
77,Bad Bunny,Un Coco,Rimas Entertainment LLC,25,75,10,8243232
78,Bad Bunny,Dos Mil 16,Rimas Entertainment LLC,19,70,10,8220630
79,Bad Bunny,Me Fui de Vacaciones,Rimas Entertainment LLC,14,66,10,8208045
80,j hope,MORE,BIGHIT MUSIC,22,22,2,8166216
81,Imanbek BYOR,Belly Dancer,Musical Freedom,81,91,7,8147362
82,The Weeknd,Call Out My Name,Universal Republic Records,1,96,38,8106507
83,Imagine Dragons,Bones,Kid Ina Korner   Interscope,56,83,18,8105205
84,Bad Bunny,Aguacero,Rimas Entertainment LLC,22,68,10,8006060
85,Post Malone Roddy Ricch,Cooped Up with Roddy Ricch,Mercury Records Republic Records,18,80,9,7994323
86,Harry Styles,Music For a Sushi Restaurant,Columbia,6,69,8,7975996
87,Yung Gravy,Betty Get Money,Republic Records,87,-1,1,7961447
88,NAYEON,POP,Republic Records NAYEON TWICE,68,71,3,7946134
89,Manuel Turizo,La Bachata,Sony Music Latin La Industria,89,157,2,7913446
90,Doja Cat SZA,Kiss Me More feat SZA,Kemosabe Records RCA Records,3,84,66,7834602
91,GAYLE,abcdefu,Atlantic Arthouse Records,1,88,35,7804786
92,WILLOW,Wait a Minute,Roc Nation W Smith P&D,28,87,17,7793009
93,PolimA Westcoast Pailita,ULTRA SOLO,Sony Music Entertainment Chile SA,42,85,12,7788713
94,Lasso,Ojos Marrones,Universal Music Mexico,94,107,2,7759140
95,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,86,58,7725632
96,Coldplay BTS,My Universe,Parlophone UK,3,93,42,7725313
97,Benson Boone,In The Stars,Warner Records,54,95,11,7706393
98,Paloma Faith,Only Love Can Hurt Like This,RCA Records Label,98,99,8,7684157
99,Charlie Puth,Light Switch,Atlantic Records,19,92,25,7678666
100,TiAsto Ava Max,The Motto,Atlantic Records,22,89,36,7581340
101,Guns N' Roses,Sweet Child O Mine,Geffen,101,170,6,7448276
102,Harry Styles,Matilda,Columbia,5,90,8,7444904
103,Jax Jones MNEK,Where Did You Go? feat MNEK,Polydor Records,103,110,13,7444100
104,The Walters,I Love You So,Warner Records,21,106,40,7388259
105,Eminem,Without Me,Aftermath,31,101,42,7370646
106,Panic At The Disco,House of Memories,Decaydance Fueled By Ramen,64,98,12,7331020
107,Musical Youth,Pass The Dutchie,Geffen,85,105,6,7298167
108,The Weeknd Ariana Grande,Save Your Tears Remix with Ariana Grande  Bonus Track,XO   Republic Records,5,109,64,7264983
109,Imagine Dragons,Believer,Kid Ina Korner   Interscope,16,108,284,7255180
110,Billie Eilish Khalid,lovely with Khalid,Darkroom,24,112,221,7239832
111,The Police,Every Breath You Take,Polydor Records,111,113,57,7197695
112,Danny Ocean,Fuera del mercado,Atlantic Records,22,103,17,7197197
113,Calvin Harris Dua Lipa Young Thug,Potion with Dua Lipa and Young Thug,Columbia,26,104,7,7193191
114,Coldplay,Yellow,Parlophone UK,58,116,82,7181441
115,Bad Bunny The MarAas,Otro Atardecer,Rimas Entertainment LLC,24,100,10,7162502
116,Bad Bunny Tainy,Callaita,Rimas Entertainment LLC,7,102,63,7130314
117,MrKitty,After Dark,Negative Gain Productions,117,117,13,7104196
118,One Direction,Night Changes,Syco Music,111,111,7,7094361
119,Dove Cameron,Boyfriend,Disruptor Records Columbia,11,114,22,7028681
