artist_name,artist_genres
Drake,['hip hop']
Ariana Grande,['pop']
Maroon 5,['pop']
Drake,['hip hop']
Cardi B,['rap']
Juice WRLD,['rap']
XXXTENTACION,['rap']
Tyga,['hip hop']
Calvin Harris,['pop']
Clean Bandit,['pop']
Post Malone,['rap']
Drake,['hip hop']
Tiesto,['pop']
5 Seconds of Summer,['pop']
Martin Garrix,['pop']
Jonas Blue,['pop']
XXXTENTACION,['rap']
Drake,['hip hop']
Drake,['hip hop']
Nio Garcia,['latin']
Selena Gomez,['pop']
Childish Gambino,['hip hop']
Ariana Grande,['pop']
Becky G,['latin']
Kygo,['pop']
XXXTENTACION,['rap']
Nicki Minaj,['hip hop']
Drake,['hip hop']
XXXTENTACION,['rap']
Anne-Marie,['pop']
Dennis Lloyd,['pop']
Loud Luxury,['pop']
Nicky Jam,['hip hop']
benny blanco,['rap']
Post Malone,['rap']
Post Malone,['rap']
The Carters,['pop']
J Balvin,['latin']
Nicky Jam,['hip hop']
ASAP Rocky,['hip hop']
David Guetta,['pop']
Lil Baby,['hip hop']
Alvaro Soler,['latin']
Marshmello,['pop']
Drake,['hip hop']
Zedd,['rap']
Billie Eilish,['hip hop']
Reik,['latin']
Ozuna,['latin']
BlocBoy JB,['hip hop']
Ed Sheeran,['pop']
KAROL G,['latin']
Dua Lipa,['hip hop']
XXXTENTACION,['rap']
Sofia Reyes,['latin']
Zion and Lennox,['latin']
Camila Cabello,['pop']
Ella Mai,['rap']
Twenty One Pilots,['rock']
Kanye West,['rap']
Drake,['hip hop']
Shakira,['rap']
Ozuna,['latin']
Daddy Yankee,['latin']
Dua Lipa,['hip hop']
Years and Years,['pop']
Dynoro,['pop']
Rudimental,['pop']
Juice WRLD,['rap']
Panic At The Disco,['modern rock']
Khalid,['pop']
Childish Gambino,['hip hop']
KYLE,['rap']
XXXTENTACION,['rap']
Cosculluela,['latin']
Bebe Rexha,['pop']
Imagine Dragons,['rock']
XXXTENTACION,['rap']
Twenty One Pilots,['rock']
Drake,['hip hop']
Bazzi,['pop']
Ed Sheeran,['pop']
Khalid,['pop']
Sebastian Yatra,['latin']
Bebe Rexha,['pop']
Imagine Dragons,['rock']
Wiz Khalifa,['hip hop']
Drake,['hip hop']
Juice WRLD,['rap']
Bad Bunny,['latin']
XXXTENTACION,['rap']
Shawn Mendes,['pop']
Post Malone,['rap']
Cheat Codes,['rap']
George Ezra,['pop']
Brytiago,['latin']
John Mayer,['pop']
Migos,['hip hop']
Sia,['pop']
Lil Dicky,['rap']
Luis Fonsi,['latin']
Wolfine,['latin']
Nicky Jam,['hip hop']
Rich The Kid,['hip hop']
Post Malone,['rap']
The Weeknd,['pop']
Lil Uzi Vert,['rap']
Billie Eilish,['hip hop']
Kendrick Lamar,['hip hop']
Daddy Yankee,['latin']
Maluma,['reggaeton']
Sam Smith,['pop']
Ed Sheeran,['pop']
Ozuna,['latin']
Piso 21,['latin']
BLACKPINK,['pop']
Lauv,['pop']
Liam Payne,['pop']
Offset,['hip hop']
Kygo,['pop']
Jess Glynne,['pop']
Avicii,['rap']
XXXTENTACION,['rap']
OneRepublic,['pop']
Drake,['hip hop']
Drake,['hip hop']
YG,['hip hop']
Jason Mraz,['pop']
Lil Pump,['rap']
Wiz Khalifa,['hip hop']
Drake,['hip hop']
Famous Dex,['hip hop']
The Chainsmokers,['pop']
Drake,['hip hop']
Leslie Grace,['latin']
J Balvin,['latin']
Post Malone,['rap']
Kendrick Lamar,['hip hop']
Louis The Child,['pop']
Avicii,['rap']
Sean Paul,['rap']
Luis Fonsi,['latin']
Ed Sheeran,['pop']
Piso 21,['latin']
Post Malone,['rap']
Danny Ocean,['latin']
Drake,['hip hop']
Drake,['hip hop']
Shawn Mendes,['pop']
James Arthur,['pop']
Lauv,['pop']
Portugal The Man,['rock']
Drake,['hip hop']
French Montana,['hip hop']
Selena Gomez,['pop']
Axwell Ingrosso,['pop']
TOTO,['rock']
The Chainsmokers,['pop']
The Chainsmokers,['pop']
Rudimental,['pop']
David Guetta,['pop']
Rae Sremmurd,['hip hop']
NF,['hip hop']
Drake,['hip hop']
Drake,['hip hop']
2 Chainz,['hip hop']
Beyonce,['pop']
Justin Quiles,['reggaeton']
Childish Gambino,['hip hop']
Camila Cabello,['pop']
Maroon 5,['pop']
XXXTENTACION,['rap']
Marshmello,['pop']
John Legend,['pop']
Lil Pump,['rap']
Matheus and Kauan,['pop']
Travis Scott,['hip hop']
Drake,['hip hop']
Florida Georgia Line,['pop']
Khalid,['pop']
Post Malone,['rap']
Oasis,['pop']
Natti Natasha,['latin']
Ed Sheeran,['pop']
Demi Lovato,['pop']
Rae Sremmurd,['hip hop']
J Balvin,['latin']
Imagine Dragons,['rock']
Alec Benjamin,['pop']
NF,['hip hop']
Bruno Mars,['pop']
Ozuna,['latin']
Bushido,['japanese chillhop']
Hozier,['pop']
BTS,['pop']
Drake,['hip hop']
Passenger,['rap']
The Killers,['rock']
Tom Walker,['pop']
Julia Michaels,['pop']
