artist_name,artist_genres
Musical Youth,['uk reggae']
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Imagine Dragons,"['modern rock', 'rock']"
Billie Eilish,"['art pop', 'electropop', 'pop']"
The Police,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']"
Danny Ocean,"['latin', 'pop venezolano', 'reggaeton', 'trap latino']"
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Coldplay,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']"
Mr Kitty,['weirdcore']
One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Dove Cameron,"['pop', 'post-teen pop']"
DJ Robin,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']"
J Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Tears For Fears,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'sophisti-pop', 'synthpop']"
Lewis Capaldi,"['pop', 'uk pop']"
BTS,"['dance pop', 'pop', 'viral pop']"
Mora,"['latin', 'reggaeton', 'trap latino']"
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Megan Thee Stallion,"['dance pop', 'houston rap', 'pop', 'trap queen']"
Queen,"['electropop', 'pop', 'pop rap']"
Maroon 5,['pop']
Doja Cat,"['dfw rap', 'melodic rap', 'rap']"
Burna Boy,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
The Weeknd,"['dark clubbing', 'destroy techno']"
Dua Lipa,"['deep underground hip hop', 'kentucky hip hop', 'rap']"
Lady Gaga,"['art pop', 'dance pop', 'pop']"
Zion and Lennox,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Jaymes Young,"['modern rock', 'pop']"
BTS,"['dance pop', 'pop', 'viral pop']"
Shae Gill,[]
Justin Bieber,"['canadian pop', 'pop']"
Taylor Swift,['pop']
Post Malone,"['dfw rap', 'melodic rap', 'rap']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
L7NNON,['pop rap brasileiro']
Marshmello,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Ryan Castro,['trap colombiano']
Lil Nas X,"['lgbtq+ hip hop', 'pop']"
Nirvana,"['alternative rock', 'grunge', 'permanent wave', 'rock']"
Vance Joy,"['folk-pop', 'modern rock', 'pop', 'pop rock']"
Maneskin,"['indie rock italiano', 'italian pop']"
Maneskin,"['indie rock italiano', 'italian pop']"
OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop rock']"
The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
Troye Sivan,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
Harry Styles,['pop']
TINI,"['latin pop', 'pop argentino']"
Eminem,"['detroit hip hop', 'hip hop', 'rap']"
Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']"
Post Malone,"['dfw rap', 'melodic rap', 'rap']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Sia,"['australian dance', 'australian pop', 'pop']"
Daddy Yankee,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
MC Tairon,['funk mtg']
J Balvin,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Ed Sheeran,"['pop', 'uk pop']"
Joji,['viral pop']
Bruno Mars,"['dance pop', 'pop']"
ACRAZE,[]
Tate McRae,"['pop', 'uk pop']"
Steve Lacy,['afrofuturism']
Conan Gray,"['bedroom pop', 'pop']"
Coolio,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
LF SYSTEM,[]
Eminem,"['detroit hip hop', 'hip hop', 'rap']"
Brent Faiyaz,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']"
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']"
Ed Sheeran,"['pop', 'uk pop']"
Olivia Rodrigo,['pop']
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Rauw Alejandro,"['latin', 'reggaeton', 'trap latino']"
Cigarettes After Sex,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
Rosa Linn,[]
Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino']"
Brent Faiyaz,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']"
Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
Tiago PZK,['trap argentino']
Rema,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
Avicii,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Alejo,"['reggaeton', 'trap latino']"
Shawn Mendes,"['canadian pop', 'pop', 'viral pop']"
The Kid LAROI,['australian hip hop']
Ze Felipe,"['arrocha', 'arrochadeira']"
The Goo Goo Dolls,"['neo mellow', 'permanent wave', 'pop rock']"
Fivio Foreign,"['brooklyn drill', 'hip hop', 'new york drill', 'rap', 'trap']"
Sleepy Hallow,"['brooklyn drill', 'nyc rap']"
Avicii,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
