Artists,artist_genres
Charlie Puth,"['dance pop', 'pop', 'viral pop']"
TiAsto Ava Max,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
Guns N' Roses,"['glam metal', 'hard rock', 'rock']"
Harry Styles,['pop']
Jax Jones MNEK,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk dance', 'uk pop']"
The Walters,['chicago indie']
Eminem,"['detroit hip hop', 'hip hop', 'rap']"
Panic At The Disco,['modern rock']
Musical Youth,['uk reggae']
The Weeknd Ariana Grande,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Imagine Dragons,"['modern rock', 'rock']"
Billie Eilish Khalid,"['art pop', 'electropop', 'pop']"
The Police,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']"
Danny Ocean,"['latin', 'pop venezolano', 'reggaeton', 'trap latino']"
Calvin Harris Dua Lipa Young Thug,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Coldplay,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
Bad Bunny The MarAas,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny Tainy,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']"
MrKitty,['weirdcore']
One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Dove Cameron,"['pop', 'post-teen pop']"
DJ Robin SchArze,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']"
J Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
The Weeknd Daft Punk,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Tears For Fears,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'sophisti-pop', 'synthpop']"
Lewis Capaldi,"['pop', 'uk pop']"
BTS,"['dance pop', 'pop', 'viral pop']"
Mora Feid,"['latin', 'reggaeton', 'trap latino']"
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Megan Thee Stallion Dua Lipa,"['dance pop', 'houston rap', 'pop', 'trap queen']"
Queen,"['electropop', 'pop', 'pop rap']"
