rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week
1,spotify:track:0bAkKNCQfWkexHFn7fIKns,Drake,In My Feelings,Cash Money,1,1,3,67499798,7/19/2018
2,spotify:track:7gkWXbAxIYuvtOpcN3p9GJ,Ariana Grande,God is a woman,Republic Records,2,-1,1,29847494,7/19/2018
3,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,Girls Like You feat Cardi B Cardi B Version,Interscope Records,3,4,7,29296811,7/19/2018
4,spotify:track:36ONiya0OANYknz0GgJmwB,Drake,Don’t Matter To Me with Michael Jackson,Cash Money,2,2,3,28813636,7/19/2018
5,spotify:track:58q2HKrzhC3ozto2nDdN4z,Cardi B,I Like It,Atlantic Records,3,7,15,27369377,7/19/2018
6,spotify:track:0s3nnoMeVWz3989MkNQiRf,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape,3,6,10,26990092,7/19/2018
7,spotify:track:3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD,Bad Vibes Forever LLC,1,3,20,26233409,7/19/2018
8,spotify:track:5IaHrVsrferBYDm0bDyABy,Tyga,Taste feat Offset,EMPIRE,8,11,9,24591233,7/19/2018
9,spotify:track:7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss with Dua Lipa,Sony Music UK,2,8,15,24377017,7/19/2018
10,spotify:track:6kPJZM97LwdG9QIsT7khp6,Clean Bandit,Solo feat Demi Lovato,Atlantic Records UK,10,10,9,24095921,7/19/2018
11,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,Republic Records,1,9,12,23691320,7/19/2018
12,spotify:track:2Vx8E3K5icPZR7OCklWBXX,Drake,Nonstop,Cash Money,1,5,3,23619963,7/19/2018
13,spotify:track:4kWO6O1BUXcZmaxitpVUwp,Tiesto,Jackie Chan,Universal Music a division of Universal International Music BV,13,15,9,21601280,7/19/2018
14,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,8,16,14,20894857,7/19/2018
15,spotify:track:3nc420PXjTdBV5TN0gCFkS,Martin Garrix,Ocean feat Khalid,EPIC,15,17,5,18993111,7/19/2018
16,spotify:track:3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,Rise,Positiva,16,23,7,18154570,7/19/2018
17,spotify:track:0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight,Bad Vibes Forever LLC,2,14,18,18124958,7/19/2018
18,spotify:track:2VWbHHhWnMzKWPUs4IEEW9,Drake,Gods Plan,Cash Money,1,12,26,18033171,7/19/2018
19,spotify:track:0HVv5bEOiI9a0QfgcASXpX,Drake,Nice For What,Cash Money,1,13,15,17875542,7/19/2018
20,spotify:track:3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,Te Bote Remix,2018 Flow La Movie Inc,8,18,14,17775281,7/19/2018
21,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,Back To You From 13 Reasons Why Season 2 Soundtrack,Interscope Records,4,19,10,16951697,7/19/2018
22,spotify:track:4j3GWI86JvSaF0BLdmgcfF,Childish Gambino,Summertime Magic,RCA Records Label,22,191,2,16749909,7/19/2018
23,spotify:track:5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,no tears left to cry,Republic Records,2,20,13,16510055,7/19/2018
24,spotify:track:2ijef6ni2amuunRoKTlgww,Becky G,Sin Pijama,Sony Music Latin,24,25,12,14962055,7/19/2018
25,spotify:track:0kHyKhJMukHEPfeh8s7rdM,Kygo,Born To Be Yours,Kygo and Imagine Dragons,25,29,5,13905970,7/19/2018
26,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,changes,Bad Vibes Forever LLC,9,22,20,13677774,7/19/2018
27,spotify:track:1ZEm9cJC05rawV2tptNfTS,Nicki Minaj,Bed feat Ariana Grande,Cash Money,22,31,5,13496542,7/19/2018
28,spotify:track:1iSZPndzmY6NvL1jAtIvY1,Drake,Im Upset,Cash Money,7,21,8,13021806,7/19/2018
29,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,EMPIRE,7,24,47,13017221,7/19/2018
30,spotify:track:6SFStUDQZNaGPKWOx9ZiJB,Anne-Marie,2002,Atlantic Records UK,27,34,13,12993637,7/19/2018
31,spotify:track:63SevszngYpZOwf63o61K4,Dennis Lloyd,Nevermind,WM Italy,18,30,18,12831612,7/19/2018
32,spotify:track:43V1z6QToNNWNldV4FEG6r,Loud Luxury,Body,Armada Music,32,49,7,12786242,7/19/2018
33,spotify:track:39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,X,Sony Music Latin,4,27,20,12535735,7/19/2018
34,spotify:track:0d2iYfpKoM0QCKvcLCkBao,benny blanco,Eastside with Halsey and Khalid,Benny Blanco Solo Album PS,34,-1,1,12037645,7/19/2018
35,spotify:track:3swc6WTsr7rl9DqQKQA55C,Post Malone,Psycho feat Ty Dolla Sign,Republic Records,2,32,21,12015987,7/19/2018
36,spotify:track:0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar feat 21 Savage,Republic Records,1,33,44,11617067,7/19/2018
37,spotify:track:0E6PsO3ymCfUh7pJQjBgkj,The Carters,APESHIT,Roc Nation JAYZ Duet,37,38,4,11444526,7/19/2018
38,spotify:track:5qFeMRz4TvetPmzjre9Dq7,J Balvin,No Es Justo,UMLE  Latino,38,46,4,11315737,7/19/2018
39,spotify:track:6JjPBQfI2Y8nIjnm65X6Pw,Nicky Jam,X feat Maluma and Ozuna Remix,Sony Music Latin,39,55,3,11274253,7/19/2018
40,spotify:track:7ycWLEP1GsNjVvcjawXz3z,ASAP Rocky,Praise The Lord Da Shine feat Skepta,RCA Records Label,25,44,8,11069141,7/19/2018
41,spotify:track:33IOhptvC2Qoy2UhjiHXLV,David Guetta,Flames,Parlophone France,20,36,17,10913185,7/19/2018
42,spotify:track:6vN77lE9LK6HP2DewaN6HZ,Lil Baby,Yes Indeed,Quality Control Music LLC,12,37,10,10866436,7/19/2018
43,spotify:track:19MBk3PbNFE36wqIqkMq9H,Alvaro Soler,La Cintura,Airforce1,42,42,10,10848362,7/19/2018
44,spotify:track:08bNPGLD8AhKpnnERrAc6G,Marshmello,FRIENDS,Atlantic Records UK,4,35,23,10845735,7/19/2018
45,spotify:track:7txPE73wHbuXYkM1h8zNrG,Drake,Mob Ties,Cash Money,11,26,3,10638575,7/19/2018
46,spotify:track:09IStsImFySgyp0pIQdqAc,Zedd,The Middle,Interscope Records,6,41,25,10326488,7/19/2018
47,spotify:track:0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely with Khalid,Darkroom,24,40,13,10100946,7/19/2018
48,spotify:track:6jA8JUuPCGYjFcgw0AoM5T,Reik,Me Niego feat Ozuna and Wisin,Columbia,22,43,22,9859532,7/19/2018
49,spotify:track:1s2B5cndbqK8rPJEIcKJRQ,Ozuna,Vaina Loca,Dimelo Vi,49,63,3,9840859,7/19/2018
50,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,Look Alive feat Drake,OVO,6,50,23,9478647,7/19/2018
51,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,54,80,9320187,7/19/2018
52,spotify:track:7sFYVcKSb24qg0dAkqLEFj,KAROL G,Mi Cama,UMLE  Latino,52,52,7,8909031,7/19/2018
53,spotify:track:76cy1WJvNGJTj78UqeA5zr,Dua Lipa,IDGAF,Warner Records,4,48,29,8844454,7/19/2018
54,spotify:track:7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,Fuck Love feat Trippie Redd,EMPIRE,19,45,44,8705922,7/19/2018
55,spotify:track:4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,1 2 3 feat Jason Derulo and De La Ghetto,WEA Latina,31,51,22,8699047,7/19/2018
56,spotify:track:0VKkyBKCXyR99navhVRqcP,Zion and Lennox,La player Bandolera,WEA Latina,56,57,18,8251992,7/19/2018
57,spotify:track:1rfofaqEpACxVEHIZBJe6W,Camila Cabello,Havana feat Young Thug,EPIC,1,56,50,8150188,7/19/2018
58,spotify:track:0At2qAoaVjIwWNAqrscXli,Ella Mai,Bood Up,Interscope Records,58,64,5,8027586,7/19/2018
59,spotify:track:6cQnrSlTxhHCCiUpKrs7g3,Twenty One Pilots,Jumpsuit,Fueled By Ramen,59,-1,1,7987373,7/19/2018
60,spotify:track:3qnoOm4fwZPBS116f5hpgF,Kanye West,All Mine,Def Jam,3,59,7,7946165,7/19/2018
61,spotify:track:1v1IXPXl73Z7zy6f5tUa9n,Drake,Emotionless,Cash Money,6,28,3,7924641,7/19/2018
62,spotify:track:7DrluKkTviBwCc8AV3VGmf,Shakira,Clandestino,Sony Music Latin,62,82,6,7797932,7/19/2018
63,spotify:track:6752EZMgXswvRBH3N2PilO,Ozuna,Unica,Dimelo Vi,63,69,8,7754505,7/19/2018
64,spotify:track:6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,Dura Remix,El Cartel Records EC3,52,62,12,7752843,7/19/2018
65,spotify:track:2ekn2ttSfGqwhhate0LSR0,Dua Lipa,New Rules,Warner Records,2,73,54,7663629,7/19/2018
66,spotify:track:1oc3jna2ablnfIKLYbKujl,Years and Years,If Youre Over Me,Polydor Records,66,68,7,7588783,7/19/2018
67,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,In My Mind,Columbia,67,121,2,7587531,7/19/2018
68,spotify:track:5CLGzJsGqhCEECcpnFQA8x,Rudimental,These Days feat Jess Glynne Macklemore and Dan Caplen,Atlantic Records UK,9,53,26,7550971,7/19/2018
69,spotify:track:0XySogm94T51XF5F2jumXm,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape,48,65,10,7542056,7/19/2018
70,spotify:track:1rqqCSm0Qe4I9rUvWncaom,Panic At The Disco,High Hopes,DCD2,70,81,4,7463975,7/19/2018
71,spotify:track:45Egmo7icyopuzJN0oMEdk,Khalid,Love Lies with Normani,RCA Records Label,11,67,22,7427269,7/19/2018
72,spotify:track:0b9oOr2ZgvyQu88wzixux9,Childish Gambino,This Is America,RCA Records Label,1,74,11,7311699,7/19/2018
73,spotify:track:4F1yvJfQ7gJkrcgFJQDjOr,KYLE,Playinwitme feat Kehlani,independently popular,28,80,15,7257632,7/19/2018
74,spotify:track:3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,Everybody Dies In Their Nightmares,EMPIRE,24,60,31,7234008,7/19/2018
75,spotify:track:0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,Madura feat Bad Bunny,WEA Latina,70,76,14,7143094,7/19/2018
76,spotify:track:4e4fqjx0Izh4svvTef1z7e,Bebe Rexha,Meant to Be feat Florida Georgia Line,Warner Bros,18,66,44,7100144,7/19/2018
77,spotify:track:5VKSZDsidOFHrtlJb33Syo,Imagine Dragons,Believer,Interscope Records,16,87,76,6986327,7/19/2018
78,spotify:track:6eYxmK9fdL4hwLnXG2zY3s,XXXTENTACION,Look At Me,EMPIRE,39,72,48,6929277,7/19/2018
79,spotify:track:6ZIuit0z4eQg77F1RGkp0L,Twenty One Pilots,Nico and the Niners,Fueled By Ramen,79,-1,1,6899889,7/19/2018
80,spotify:track:4uloft7ZE54WflsuqFmjC7,Drake,Elevate,Cash Money,9,39,3,6889687,7/19/2018
81,spotify:track:7uzmGiiJyRfuViKKK3lVmR,Bazzi,Mine,iamcosmic,3,77,26,6862576,7/19/2018
82,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,4,83,72,6802264,7/19/2018
83,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,Khalid,OTW,RCA Records Label,24,89,13,6762094,7/19/2018
84,spotify:track:2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,Por Perro,UMLE  Latino,84,88,11,6707725,7/19/2018
85,spotify:track:04ZTP5KsCypmtCmQg5tH9R,Bebe Rexha,Im a Mess,Warner Bros,85,90,4,6673449,7/19/2018
86,spotify:track:7BrsBU0BAytRDvROM4yCbn,Imagine Dragons,Thunder,Interscope Records,8,94,64,6560522,7/19/2018
87,spotify:track:7IBSffWIu7P2MC7kMwy2FM,Wiz Khalifa,Hopeless Romantic feat Swae Lee,Atlantic Records,87,-1,1,6498571,7/19/2018
88,spotify:track:7cfvP13Bqb1EyCZQiYsLum,Drake,Cant Take A Joke,Cash Money,19,47,3,6467254,7/19/2018
89,spotify:track:3obgSF06ki98lYNLNq5vCB,Juice WRLD,Wasted feat Lil Uzi Vert,Juice WRLD Mixtape,89,-1,1,6417691,7/19/2018
