rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week
90,spotify:track:7glCSQqV5o6NU88Cn4zPZn,Bad Bunny,Estamos Bien,Rimas Entertainment LLC,90,97,3,6390645,7/19/2018
91,spotify:track:4UKCKdYiLN6IMA5ZESUTL7,XXXTENTACION,the remedy for a broken heart why am I so in love,Bad Vibes Forever LLC,27,78,10,6352364,7/19/2018
92,spotify:track:21YnmkSDhUkmkkni22Svc4,Shawn Mendes,In My Blood,Island Records,7,85,17,6342642,7/19/2018
93,spotify:track:6IaieqiCVvsNvEt6Y7yOFa,Post Malone,Ball For Me feat Nicki Minaj,Republic Records,15,93,12,6336227,7/19/2018
94,spotify:track:54l9GJGQ1UCFKe2tzt1Vxt,Cheat Codes,Only You,300 Entertainment,94,132,2,6278527,7/19/2018
95,spotify:track:4ofwffwvvnbSkrMSCKQDaC,George Ezra,Shotgun,Columbia,95,119,4,6114997,7/19/2018
96,spotify:track:6rbhaJsE4uLzpPf8WYSHDK,Brytiago,Asesina,2018 Business Music,96,123,3,6109009,7/19/2018
97,spotify:track:40FLJc17FMZaPmCQEEZgB0,John Mayer,New Light,Columbia,63,96,9,6108137,7/19/2018
98,spotify:track:6n4U3TlzUGhdSFbUUhTvLP,Migos,Walk It Talk It,Quality Control Music LLC,22,99,25,6080121,7/19/2018
99,spotify:track:7boPPE857KEqCIHNwFkDop,Sia,Audio feat Sia Diplo and Labrinth,Columbia,76,111,10,6077055,7/19/2018
100,spotify:track:10Igtw8bSDyyFs7KIsKngZ,Lil Dicky,Freaky Friday feat Chris Brown,BMG,7,95,18,5962499,7/19/2018
101,spotify:track:4178A5NkEjcsGc64jpBO6d,Luis Fonsi,Calypso,UMLE  Latino,101,127,2,5941256,7/19/2018
102,spotify:track:0SaYeGhSXN0dDWstyNTQ56,Wolfine,Bella Remix,LOMIORECORDS,81,106,11,5933789,7/19/2018
103,spotify:track:4DnHUy01jEA4b5ydC3HgsT,Nicky Jam,Live It Up Official Song 2018 FIFA World Cup Russia,Sony Music Latin,79,101,7,5932775,7/19/2018
104,spotify:track:6mAz8D1TmlTuef90dbNIiZ,Rich The Kid,Plug Walk,Rich The Kid,19,98,20,5919774,7/19/2018
105,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart,Universal Records,10,104,43,5878146,7/19/2018
106,spotify:track:1gm616Plq4ScqNi7TVkZ5N,The Weeknd,Call Out My Name,Universal Republic Records,1,92,16,5740829,7/19/2018
107,spotify:track:7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO Tour Llif3,Atlantic Records,10,110,69,5739170,7/19/2018
108,spotify:track:7hDVYcQq6MxkdJGweuCtl9,Billie Eilish,ocean eyes,Darkroom,108,139,5,5628375,7/19/2018
109,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,All The Stars with SZA,Black Panther,2,113,28,5535661,7/19/2018
110,spotify:track:6KuqAtoeVzxAYOaMveLNpH,Daddy Yankee,Dura,El Cartel Records EC3,9,117,26,5521398,7/19/2018
111,spotify:track:2XVilv6s9GETnw9PG4T9Mz,Maluma,El Prestamo,Sony Music Latin,52,112,19,5520875,7/19/2018
112,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,Too Good At Goodbyes,Capitol,1,115,45,5514317,7/19/2018
113,spotify:track:2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,Happier,Atlantic Records UK,10,120,62,5510982,7/19/2018
114,spotify:track:5Y9fnynLlIvqtM710MHzfz,Ozuna,Síguelo Bailando,Dimelo Vi,43,105,29,5461168,7/19/2018
115,spotify:track:2RVrdr062uLFxXwIxwdXPH,Piso 21,Te Amo,WM Mexico,76,122,17,5438487,7/19/2018
116,spotify:track:2CWnuF7ht55Ajyeg4WPvWu,BLACKPINK,DDUDU DDUDU,Interscope Records,47,108,5,5417805,7/19/2018
117,spotify:track:3JJYIoJ5FyY9E0DGjr7SXF,Lauv,Enemies,Lauv,107,128,4,5417301,7/19/2018
118,spotify:track:0Y4hwUppbGc8aIBmiTz30A,Liam Payne,Familiar,Capitol,57,118,13,5408831,7/19/2018
119,spotify:track:7sO5G9EABYOXQKNPNiE9NR,Offset,Ric Flair Drip with Metro Boomin,EPIC,32,126,38,5332198,7/19/2018
120,spotify:track:6xTU6B6nFwKKTSZ9ySXS80,Kygo,Remind Me to Forget,Kygo,29,116,18,5329824,7/19/2018
121,spotify:track:083Qf6hn6sFL6xiOHlZUyn,Jess Glynne,Ill Be There,Atlantic Records UK,66,125,11,5280557,7/19/2018
122,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,Avicii,Wake Me Up,Universal Music AB,13,145,13,5232627,7/19/2018
123,spotify:track:2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,Hope,Bad Vibes Forever LLC,42,109,7,5230140,7/19/2018
124,spotify:track:3T4UodGkfZObJ43RtA5KFU,OneRepublic,Connection,Interscope Records,124,164,2,5202682,7/19/2018
125,spotify:track:1Jrj3k5L36dPkU6KAclU7g,Drake,Blue Tint,Cash Money,34,71,3,5189725,7/19/2018
126,spotify:track:4IvenHmD0spfFDOKphoUDp,Drake,After Dark feat Static Major and Ty Dolla Sign,Cash Money,40,75,3,5178495,7/19/2018
127,spotify:track:2RM4jf1Xa9zPgMGRDiht8O,YG,BIG BANK feat 2 Chainz Big Sean Nicki Minaj,Def Jam Recordings,127,158,3,5147978,7/19/2018
128,spotify:track:3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,Im Yours,Atlantic Records,128,154,16,5127210,7/19/2018
129,spotify:track:6tpHfEM8eaETzlPOARYWfZ,Lil Pump,Drug Addicts,Warner Records,102,102,2,5126114,7/19/2018
130,spotify:track:1RagpNpkD3KcjXMLGMe99V,Wiz Khalifa,Fr Fr feat Lil Skies,Atlantic Records,130,-1,1,5112027,7/19/2018
131,spotify:track:71SEHJPt1iDwGkBhUOAXDP,Drake,Survival,Cash Money,8,61,3,5062291,7/19/2018
132,spotify:track:5PTG6rrL6EPFD9E2QMI2pl,Famous Dex,JAPAN,300 Entertainment,34,130,17,5037749,7/19/2018
133,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,Columbia,2,133,82,5013382,7/19/2018
134,spotify:track:5fcM0StdQxMjzulVGhFkHN,Drake,8 Out Of 10,Cash Money,12,58,3,4952719,7/19/2018
135,spotify:track:31M5m42C3EGlbydf9XB5to,Leslie Grace,Duro y Suave,Sony Music Latin,135,140,10,4858479,7/19/2018
136,spotify:track:6VrBWh90BiwWmwKtvwWFcq,J Balvin,Ambiente,UMLE  Latino,109,135,8,4857298,7/19/2018
137,spotify:track:32lItqlMi4LBhb4k0BaSaC,Post Malone,Candy Paint,Republic Records,17,137,44,4808894,7/19/2018
138,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,HUMBLE,Aftermath,1,143,68,4807192,7/19/2018
139,spotify:track:447yWcDPg1ddgcHBLGpJC0,Louis The Child,Better Not with Wafia,Interscope Records,119,155,6,4789162,7/19/2018
140,spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,Avicii,Without You feat Sandro Cavazza,Universal Music AB,20,165,41,4787369,7/19/2018
141,spotify:track:4dSoDnmR9opAQ8KxUc9SbC,Sean Paul,Mad Love,UniversalIsland Records Ltd,38,131,20,4780391,7/19/2018
142,spotify:track:2hl6q70unbviGo3g1R7uFx,Luis Fonsi,echame La Culpa,Echame La Culpa PS,7,134,35,4748325,7/19/2018
143,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,Ed Sheeran,Perfect Duet Ed Sheeran and Beyonce,Atlantic Records UK,3,148,33,4708960,7/19/2018
144,spotify:track:1j6xOGusnyXq3l6IryKF3G,Piso 21,Dejala Que Vuelva feat Manuel Turizo,WM Mexico,33,141,37,4687464,7/19/2018
145,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,Post Malone,Congratulations,Universal Records,20,150,78,4672318,7/19/2018
146,spotify:track:2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,Dembow,Atlantic Records,65,138,27,4638970,7/19/2018
147,spotify:track:0w1ZtnzQmtmuuoKxHT0pLL,Drake,Summer Games,Cash Money,31,79,3,4638607,7/19/2018
148,spotify:track:3Yw09dj3cTXsAzlLjgBfIP,Drake,Talk Up feat JayZ,Cash Money,18,70,3,4629311,7/19/2018
149,spotify:track:5QskYLFPX9y7pLU0VEMNbr,Shawn Mendes,Like To Be You feat Julia Michaels,Island Records,86,144,5,4619161,7/19/2018
150,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Wont Let Go,Columbia,7,146,82,4618131,7/19/2018
151,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,Lauv,29,161,59,4541035,7/19/2018
152,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,Portugal The Man,Feel It Still,Atlantic Records,18,153,53,4510386,7/19/2018
153,spotify:track:1zi7xx7UVEFkmKfv06H8x0,Drake,One Dance,Cash Money,12,159,82,4500904,7/19/2018
154,spotify:track:3B54sVLJ402zGa6Xm4YGNe,French Montana,Unforgettable,EPIC,3,152,67,4494646,7/19/2018
155,spotify:track:0tBbt8CrmxbjRP0pueQkyU,Selena Gomez,Wolves,Selena Gomez PS,3,160,39,4487861,7/19/2018
156,spotify:track:6h5PAsRni4IRlxWr6uDPTP,Axwell Ingrosso,More Than You Know,EMI,15,182,60,4485801,7/19/2018
157,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,Columbia,145,170,18,4471738,7/19/2018
158,spotify:track:6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,Something Just Like This,Columbia,2,162,74,4467219,7/19/2018
159,spotify:track:3pWcj8hxj3fsb9TDAcMpEl,The Chainsmokers,Somebody,Columbia,58,114,13,4462469,7/19/2018
160,spotify:track:3D1rlKmZdpYUeMtRRLNawc,Rudimental,Let Me Live feat AnneMarie and Mr Eazi,Atlantic Records UK,160,-1,1,4459041,7/19/2018
161,spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ,David Guetta,Like I Do,Parlophone France,24,151,21,4447594,7/19/2018
162,spotify:track:1BuZAIO8WZpavWVbbq3Lci,Rae Sremmurd,Powerglide feat Juicy J From SR3MM,Mike WiLL MadeIt,50,156,20,4423747,7/19/2018
163,spotify:track:07FkzikE6FuHIa8Ma7zJGc,NF,Lie,NF Real Music,163,-1,1,4401900,7/19/2018
164,spotify:track:0SVsEdvot6vU4byv5yW0oj,Drake,That’s How You Feel,Cash Money,39,91,3,4389320,7/19/2018
165,spotify:track:1sPLURKAosM3Jampgp9AWq,Drake,Sandras Rose,Cash Money,24,84,3,4378996,7/19/2018
166,spotify:track:5S1IUPueD0xE0vj4zU3nSf,2 Chainz,Bigger Than You feat Drake and Quavo,Def Jam Recordings,71,179,5,4372979,7/19/2018
167,spotify:track:2CvOqDpQIMw69cCzWqr5yr,Beyonce,Halo,Columbia,149,184,10,4368364,7/19/2018
168,spotify:track:5bITfqKGaPakO1l99hOMsI,Justin Quiles,No Quiero Amarte feat Zion and Lennox,WEA Latina,168,192,2,4355849,7/19/2018
169,spotify:track:7p4vHnYXkxlzvfePJVpcTr,Childish Gambino,Feels Like Summer,RCA Records Label,169,-1,1,4339960,7/19/2018
170,spotify:track:4eWQlBRaTjPPUlzacqEeoQ,Camila Cabello,Never Be the Same,EPIC,4,167,32,4311818,7/19/2018
171,spotify:track:0GxQ1A5L9xnMOytbP6eKBG,Maroon 5,What Lovers Do feat SZA,Interscope Records,5,180,46,4261089,7/19/2018
172,spotify:track:01TnVDiet1DFTsyWKUKovl,XXXTENTACION,NUMB,Bad Vibes Forever LLC,48,142,8,4244059,7/19/2018
173,spotify:track:7vGuf3Y35N4wmASOKLUVVU,Marshmello,Silence,RCA Records Label,8,163,49,4239465,7/19/2018
174,spotify:track:3uhBIQ7tv8j1FME8cFGEfG,John Legend,All of Me,Columbia,147,-1,12,4227768,7/19/2018
175,spotify:track:44KKhCyI0BGS6LvVyDqJtH,Lil Pump,Esskeetit,Warner Records,51,166,14,4226932,7/19/2018
176,spotify:track:2Ab1wPTEqulaCGoBak1gUo,Matheus and Kauan,Ao Vivo E A Cores,Universal Music Ltda,160,177,7,4206628,7/19/2018
177,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,EPIC,60,181,81,4196235,7/19/2018
178,spotify:track:590bUp2TKTfTS9NfiD4Nmn,Drake,Finesse,Cash Money,38,100,3,4179900,7/19/2018
179,spotify:track:4P92FrvmYQSAfOpp4cpFEi,Florida Georgia Line,Simple,BMLG Records,134,171,5,4177940,7/19/2018
180,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb and Broke,RCA Records Label,12,172,56,4139250,7/19/2018
181,spotify:track:3fpVWegR6YOS1Yk5HSMYIq,Post Malone,Paranoid,Republic Records,4,173,12,4076428,7/19/2018
182,spotify:track:5qqabIl2vWzo9ApSC317sa,Oasis,Wonderwall Remastered,Big Brother Recordings Ltd,152,198,40,4037172,7/19/2018
183,spotify:track:6Za3190Sbw39BBC77WSS1C,Natti Natasha,Criminal,Pina Records,21,178,44,4031022,7/19/2018
184,spotify:track:1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,Thinking out Loud,Atlantic Records UK,58,189,82,4026880,7/19/2018
185,spotify:track:3Du2K5dLzmduCNp6uwuaL0,Demi Lovato,Sorry Not Sorry,Island Records,7,188,53,4026211,7/19/2018
186,spotify:track:0TCnOEVeLQMXOUrpPlM7uY,Rae Sremmurd,Guatemala From Swaecation,Mike WiLL MadeIt,111,168,8,4023775,7/19/2018
187,spotify:track:7COfe3P7KgfwDwIRB8LIDw,J Balvin,Mi Gente,UMLE  Latino,1,196,55,4015896,7/19/2018
188,spotify:track:0yt31hMKZMiyIEfiBiLD2N,Imagine Dragons,Whatever It Takes,Interscope Records,51,193,49,4012717,7/19/2018
189,spotify:track:2uaiyLKnYvazyfR0Ky3Kbk,Alec Benjamin,Let Me Down Slowly,2018,184,194,3,4010704,7/19/2018
190,spotify:track:52okn5MNA47tk87PeZJLEL,NF,Let You Down,NF Real Music,9,190,41,4004612,7/19/2018
191,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,Thats What I Like,Atlantic Records,6,197,77,4002716,7/19/2018
192,spotify:track:7rwX0O3RlxqqIjQM8evm5E,Ozuna,Solita,Hear This Music,75,186,25,4001335,7/19/2018
193,spotify:track:78CLZUWhsxIDwObCKOh1fh,Bushido,Fur Euch alle,ersguterjunge,107,107,2,4000895,7/19/2018
194,spotify:track:3KYOGt8IO6j8wptkG9THag,Hozier,Take Me to Church,Columbia,166,-1,4,3996559,7/19/2018
195,spotify:track:3aW0ds4A4tSQDIp75FqWTo,BTS,FAKE LOVE,BIGHIT MUSIC,14,174,9,3948076,7/19/2018
196,spotify:track:3jipFRgLyKK0oJoG1pKicx,Drake,Jaded,Cash Money,35,103,3,3947144,7/19/2018
