rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week
1,spotify:track:0TK2YIli7K1leLovkQiNik,Shawn Mendes,Senorita,Island Records,1,1,4,64942021,7/18/2019
2,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,I Dont Care with Justin Bieber,Atlantic Records UK,1,3,10,38459324,7/18/2019
3,spotify:track:70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,Beautiful People feat Khalid,Atlantic Records UK,3,5,3,36721702,7/18/2019
4,spotify:track:6vBdBCoOhKHiYDDOcorfNo,Post Malone,Goodbyes feat Young Thug,Republic Records,2,2,2,32776195,7/18/2019
5,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Interscope Records,1,4,16,27733366,7/18/2019
6,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,Old Town Road Remix,Columbia,2,6,15,26270757,7/18/2019
7,spotify:track:1DhRbox3xkceP64k3JeYfW,Ed Sheeran,Antisocial with Travis Scott,Atlantic Records UK,7,-1,1,25282995,7/18/2019
8,spotify:track:2TH65lNHgvLxCKXM3apjxI,Bad Bunny,Callaita,Rimas Entertainment LLC,7,7,7,21735586,7/18/2019
9,spotify:track:3yNZ5r3LKfdmjoS3gkhUCT,Billie Eilish,bad guy with Justin Bieber,Interscope Records,9,-1,1,21458729,7/18/2019
10,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,South of the Border feat Camila Cabello and Cardi B,Atlantic Records UK,10,-1,1,20785809,7/18/2019
11,spotify:track:1Ej96GIBCTvgH7tNX1r3qr,Sech,Otro Trago,Ingrooves Records,4,9,12,19292972,7/18/2019
12,spotify:track:5ry2OE6R2zPQFDO85XkgRb,Drake,Money In The Grave Drake ft Rick Ross,Republic Records,5,10,5,19087459,7/18/2019
13,spotify:track:6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,Panini,Columbia,7,8,4,18630371,7/18/2019
14,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,7,12,28,18437480,7/18/2019
15,spotify:track:0AtP8EkGPn6SwxKDaUuXec,Ed Sheeran,Remember The Name feat Eminem and 50 Cent,Atlantic Records UK,15,-1,1,18409396,7/18/2019
16,spotify:track:4wuCQX7JvAZLlrcmH4AeZF,Ed Sheeran,Cross Me feat Chance the Rapper and PnB Rock,Atlantic Records UK,9,41,8,18203708,7/18/2019
17,spotify:track:1f38Gx6xQz6r4H1jGVNBJo,DJ Snake,Loco Contigo feat J Balvin and Tyga,DJ Snake Music Productions Limited,17,17,5,17353639,7/18/2019
18,spotify:track:3KkXRkHbMCARz0aVfEt68P,Post Malone,Sunflower SpiderMan: Into the SpiderVerse,Universal Records,1,11,39,17072685,7/18/2019
19,spotify:track:1c0hsvHLELX6y8qymnpLKL,Lunay,Soltera Remix,La Familia,8,16,10,16136101,7/18/2019
