rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week
44,spotify:track:2XSO13Gyndo7MDdtYibIxO,Juice WRLD,Screw Juice,Interscope Records,44,-1,1,11922995,7/16/2020
45,spotify:track:6RsRMf9e4KUyo3MecGffNL,Juice WRLD,I Want It,Interscope Records,45,-1,1,11650662,7/16/2020
46,spotify:track:1uA914Md6wsy9NDryyBypH,Juice WRLD,Man Of The Year,Interscope Records,46,-1,1,11390506,7/16/2020
47,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,THE SCOTTS,Epic,1,27,12,11332909,7/16/2020
48,spotify:track:1Cv1YLb4q0RzL6pybtaMLo,Surfaces,Sunday Best,TenThousand Projects LLC,13,32,26,11224450,7/16/2020
49,spotify:track:6DuHcOuuGWXNvF3uocsrBa,Juice WRLD,Cant Die,Interscope Records,49,-1,1,11121119,7/16/2020
50,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,Doja Cat,Say So,RCA Records,6,31,29,10766655,7/16/2020
51,spotify:track:06s3QtMJVXw1AJX3UfvZG1,Anuel AA,Hasta Que Dios Diga,2020 Real Hasta La Muerte LLC,32,35,7,10717935,7/16/2020
52,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,36,46,10634521,7/16/2020
53,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,KAROL G,Tusa,TUSA Karol G & Nicki Minaj,3,39,36,10572023,7/16/2020
54,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,Marshmello,Be Kind with Halsey,Astralwerks,22,44,11,10464585,7/16/2020
55,spotify:track:7szuecWAPwGoV1e5vGu8tl,The Weeknd,In Your Eyes,Republic Records,6,33,17,10409921,7/16/2020
56,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,Jay Wheeler,La Curiosidad,EMPIRE,56,67,3,10329421,7/16/2020
57,spotify:track:76nqCfJOcFFWBJN32PAksn,Ava Max,Kings and Queens,Atlantic Records,41,42,16,10223800,7/16/2020
58,spotify:track:5v4GgrXPMghOnBBLmveLac,Megan Thee Stallion,Savage Remix feat Beyonce,300 Entertainment,13,38,12,10046781,7/16/2020
59,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,Senorita,Island Records,1,47,56,9904124,7/16/2020
60,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,Epic,13,45,153,9897529,7/16/2020
61,spotify:track:2rRJrJEo19S2J82BDsQ3F7,Trevor Daniel,Falling,Alamo,5,43,35,9834632,7/16/2020
62,spotify:track:3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,Columbia,6,48,32,9764539,7/16/2020
63,spotify:track:4NhDYoQTYCdWHTvlbGVgwo,6ix9ine,GOOBA,Scumgang Records,4,34,10,9692072,7/16/2020
64,spotify:track:4DpNNXFMMxQEKl7r0ykkWA,Melanie Martinez,Play Date,Atlantic Records,26,46,12,9587833,7/16/2020
65,spotify:track:2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,Interscope Records,2,49,43,9495564,7/16/2020
66,spotify:track:6AzKhCHOms83jvNVLsz0Bt,Aya Nakamura,Djadja feat Maluma Remix,Rec 118,66,92,3,9219142,7/16/2020
67,spotify:track:38iBrrbbXyWaSPkmuDNgjZ,Kid Cudi,The Adventures of Moon Man and Slim Shady with Eminem,Republic Records,67,-1,1,9181893,7/16/2020
68,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape,3,75,114,9174765,7/16/2020
69,spotify:track:1IIKrJVP1C9N7iPtG6eOsK,Chris Brown,Go Crazy,RCA Records,66,66,8,9023354,7/16/2020
70,spotify:track:1sgDyuLooyvEML4oHspNza,Kygo,Lose Somebody,Kygo,32,51,9,8850868,7/16/2020
71,spotify:track:3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,Epic,1,54,41,8807483,7/16/2020
72,spotify:track:4ZRrLHqzhGRXYj2qcB4s5S,Rauw Alejandro,Tattoo Remix with Camilo,Sony Music Latin,72,-1,1,8762381,7/16/2020
73,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,Bad Bunny,Safaera,Rimas Entertainment LLC,9,52,20,8735912,7/16/2020
74,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Interscope Records,1,59,68,8648826,7/16/2020
75,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower SpiderMan Into the SpiderVerse,Republic Records,1,56,91,8590871,7/16/2020
76,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,Dior,Republic Records,40,40,18,8585457,7/16/2020
77,spotify:track:50ZC4PM7hywH27RcCfViau,Rauw Alejandro,Elegi feat Dimelo Flow,Sony Music Latin,54,62,15,8583437,7/16/2020
78,spotify:track:0YevRlTDW9tyIwViCyke8Q,Juice WRLD,Anxiety Intro,Interscope Records,78,-1,1,8449557,7/16/2020
79,spotify:track:2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE,Epic,2,61,102,8395468,7/16/2020
