rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week
187,spotify:track:7mcdgAXmb35dakBnfDIv3q,Anuel AA,Narcos,2020 Real Hasta La Muerte LLC,174,174,2,4633313,7/16/2020
188,spotify:track:4ZLzoOkj0MPWrTLvooIuaa,Kina,Get You The Moon feat Snøw,Columbia,95,181,57,4628057,7/16/2020
189,spotify:track:4EivmOT13NMpNSfTKn9p4s,Doja Cat,Like That feat Gucci Mane,RCA Records,69,165,18,4601762,7/16/2020
190,spotify:track:3H3r2nKWa3Yk5gt8xgmsEt,Sam Fischer,This City,RCA Records,105,136,13,4597406,7/16/2020
191,spotify:track:3JKgcAa7r07ocVWcV8bS0H,Polo G,21,Columbia,161,161,3,4595820,7/16/2020
192,spotify:track:71d7LaAgPcNcUopu3OzmP7,Pop Smoke,Make It Rain feat Rowdy Rebel,Victor Victor Worldwide,64,64,3,4594248,7/16/2020
193,spotify:track:25sgk305KZfyuqVBQIahim,Ava Max,Sweet but Psycho,Atlantic Records,6,180,94,4590391,7/16/2020
194,spotify:track:5TGcyccg8Hkgn9jB7gUpMN,VIZE,Never Let Me Down,Ultra Records,194,-1,1,4574508,7/16/2020
195,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,BOP,Interscope Records,23,171,42,4570881,7/16/2020
196,spotify:track:5EbtodsuLbxrFDH6j5avVS,Camilo,El Mismo Aire con Pablo Alborán,Sony Music Latin,196,-1,1,4556759,7/16/2020
197,spotify:track:51Fjme0JiitpyXKuyQiCDo,Y2K,Lalala,Columbia,4,169,56,4541965,7/16/2020
198,spotify:track:7sQKy5vlPQllr0k9IjYJv3,Arcangel,Sigues Con El,Rimas Entertainment LLC,21,188,30,4538735,7/16/2020
199,spotify:track:5kkaSMcf4BFlhRRICCKZb6,Pop Smoke,Something Special,Victor Victor Worldwide,79,79,2,4535580,7/16/2020
200,spotify:track:52zq2a71SGs3f1vJuv59ui,Juanfran,Como Llora,DN7 Music,192,192,2,4534139,7/16/2020
