,Artists,streams,artist_genres
331,Guns N' Roses,7448276,"['glam metal', 'hard rock', 'rock']"
338,Jax Jones MNEK,7444100,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk dance', 'uk pop']"
339,The Walters,7388259,['chicago indie']
340,Eminem,7370646,"['detroit hip hop', 'hip hop', 'rap']"
343,Panic At The Disco,7331020,['modern rock']
344,Musical Youth,7298167,['uk reggae']
345,The Weeknd Ariana Grande,7264983,"['canadian contemporary r&b', 'canadian pop', 'pop']"
348,Billie Eilish Khalid,7239832,"['art pop', 'electropop', 'pop']"
349,The Police,7197695,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']"
350,Danny Ocean,7197197,"['latin', 'pop venezolano', 'reggaeton', 'trap latino']"
351,Calvin Harris Dua Lipa Young Thug,7193191,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
352,Coldplay,7181441,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
353,Bad Bunny The MarAas,7162502,"['latin', 'reggaeton', 'trap latino']"
354,Bad Bunny Tainy,7130314,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']"
355,MrKitty,7104196,['weirdcore']
356,One Direction,7094361,"['boy band', 'pop', 'post-teen pop', 'talent show']"
357,Dove Cameron,7028681,"['pop', 'post-teen pop']"
358,DJ Robin SchArze,6985121,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']"
359,J Cole,6974666,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
360,The Weeknd Daft Punk,6958528,"['canadian contemporary r&b', 'canadian pop', 'pop']"
361,Tears For Fears,6918015,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'sophisti-pop', 'synthpop']"
362,Lewis Capaldi,6895453,"['pop', 'uk pop']"
366,Mora Feid,6783870,"['latin', 'reggaeton', 'trap latino']"
369,Megan Thee Stallion Dua Lipa,6722738,"['dance pop', 'houston rap', 'pop', 'trap queen']"
370,Queen,6717197,"['electropop', 'pop', 'pop rap']"
371,Maroon 5 Wiz Khalifa,6646181,['pop']
375,Burna Boy,6638232,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
376,The Weeknd Gesaffelstein,6605597,"['dark clubbing', 'destroy techno']"
377,Dua Lipa,6603999,"['deep underground hip hop', 'kentucky hip hop', 'rap']"
378,Lady Gaga,6599369,"['art pop', 'dance pop', 'pop']"
379,Zion & Lennox,6550814,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
380,Jaymes Young,6538563,"['modern rock', 'pop']"
384,Shae Gill Ali Sethi,6524803,[]
385,Justin Bieber Daniel Caesar Giveon,6523246,"['canadian pop', 'pop']"
388,Post Malone Swae Lee,6480368,"['dfw rap', 'melodic rap', 'rap']"
403,L7NNON DJ Biel do Furduncinho Bianca,6463319,['pop rap brasileiro']
404,Marshmello Khalid,6446068,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
405,David Guetta Becky Hill Ella Henderson,6444554,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
406,Ryan Castro,6428732,['trap colombiano']
409,Nirvana,6407330,"['alternative rock', 'grunge', 'permanent wave', 'rock']"
410,Vance Joy,6405142,"['folk-pop', 'modern rock', 'pop', 'pop rock']"
411,Maneskin,6404697,"['indie rock italiano', 'italian pop']"
417,The Killers,6377591,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
418,Troye Sivan,6368998,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
425,TINI Becky G Anitta,6354408,"['latin pop', 'pop argentino']"
429,Cardi B Kanye West Lil Durk,6280767,"['dance pop', 'pop', 'pop rap', 'rap']"
430,Post Malone,6273440,"['dfw rap', 'melodic rap', 'rap']"
445,Sia,6251829,"['australian dance', 'australian pop', 'pop']"
446,Daddy Yankee Bad Bunny,6246991,"['latin', 'reggaeton', 'trap latino']"
454,MC Tairon Mc Vitin Da Igrejinha Dj Win,6217171,['funk mtg']
455,J Balvin Bad Bunny,6146420,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
462,Bruno Mars,6050387,"['dance pop', 'pop']"
463,ACRAZE Cherish,6025166,[]
464,Tate McRae,6024585,"['pop', 'uk pop']"
467,Conan Gray,5968588,"['bedroom pop', 'pop']"
468,Coolio LV,5941982,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
469,LF SYSTEM,5909732,[]
473,Brent Faiyaz,5854629,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']"
486,Drake WizKid Kyla,5813505,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
487,Rauw Alejandro,5810092,"['latin', 'reggaeton', 'trap latino']"
488,Cigarettes After Sex,5805454,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
492,Rosa Linn,5780104,[]
493,Bizarrap Tiago PZK,5766183,"['argentine hip hop', 'pop venezolano', 'trap argentino']"
499,Tiago PZK Ozuna,5697806,['trap argentino']
500,Rema,5688777,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
501,Avicii,5662493,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
503,Alejo Feid ROBI,5657880,"['reggaeton', 'trap latino']"
504,Shawn Mendes,5637347,"['canadian pop', 'pop', 'viral pop']"
505,The Kid LAROI,5607355,['australian hip hop']
506,Ze Felipe MC Mari,5603007,"['arrocha', 'arrochadeira']"
507,The Goo Goo Dolls,5592566,"['neo mellow', 'permanent wave', 'pop rock']"
508,Fivio Foreign The Kid LAROI,5572362,"['brooklyn drill', 'hip hop', 'new york drill', 'rap', 'trap']"
509,Sleepy Hallow 347aidan,5542413,"['brooklyn drill', 'nyc rap']"
