rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,week
154,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Wont Let Go,7,159,234,5484469,7/8/2021
157,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Wont Let Go,7,154,235,5549447,7/15/2021
175,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Wont Let Go,7,157,236,5518736,7/22/2021
173,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Wont Let Go,7,175,237,5375426,7/29/2021
154,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,Joao Gomes,Se For Amor,154,-1,1,5618268,7/29/2021
116,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,Senorita,1,129,107,6351553,7/8/2021
116,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,Senorita,1,116,108,6273213,7/15/2021
118,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,Senorita,1,120,110,6317487,7/29/2021
120,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,Senorita,1,116,109,6354090,7/22/2021
184,spotify:track:0giiXonRhODYy4J1iy4Lb3,Rauw Alejandro,Sexo Virtual,184,-1,1,5114701,7/8/2021
198,spotify:track:0giiXonRhODYy4J1iy4Lb3,Rauw Alejandro,Sexo Virtual,184,184,2,4975786,7/15/2021
139,spotify:track:2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,Shallow,3,148,145,5759898,7/8/2021
142,spotify:track:2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,Shallow,3,139,146,5765879,7/15/2021
148,spotify:track:2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,Shallow,3,158,148,5672480,7/29/2021
158,spotify:track:2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,Shallow,3,142,147,5734557,7/22/2021
98,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,1,112,232,6799207,7/8/2021
99,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,1,98,233,6716002,7/15/2021
108,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,1,99,234,6654328,7/22/2021
117,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,1,108,235,6452492,7/29/2021
172,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,1,168,286,6072478,7/21/2021
195,spotify:track:7l9IqDtVWJurTvkQHq1BGh,Tate McRae,shes all i wanna be,38,172,24,5732975,7/21/2021
41,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,4,38,45,11475413,7/21/2021
193,spotify:track:239yM7BAQ2CkNc61ogPGXo,John Mayer,Shot in the Dark,193,1,1,5173308,7/22/2021
198,spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,SLOW DANCING IN THE DARK,75,169,41,5725792,7/21/2021
128,spotify:track:1f3yAtsJtY87CTmM8RLnxf,Nirvana,Smells Like Teen Spirit,128,133,30,6065267,7/29/2021
133,spotify:track:1f3yAtsJtY87CTmM8RLnxf,Nirvana,Smells Like Teen Spirit,133,139,29,6117152,7/22/2021
139,spotify:track:1f3yAtsJtY87CTmM8RLnxf,Nirvana,Smells Like Teen Spirit,139,157,28,5836701,7/15/2021
150,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,103,149,80,6416113,7/21/2021
157,spotify:track:1f3yAtsJtY87CTmM8RLnxf,Nirvana,Smells Like Teen Spirit,157,178,27,5421684,7/8/2021
65,spotify:track:0QPRDC97rIQB3Jh3hrVJoH,Rosa Linn,SNAP,65,186,2,9306801,7/21/2021
69,spotify:track:4HzqWEdAbzcVFDv0pvxV4w,Maluma,Sobrio,69,106,3,8514480,7/29/2021
106,spotify:track:4HzqWEdAbzcVFDv0pvxV4w,Maluma,Sobrio,106,109,2,6689201,7/22/2021
109,spotify:track:4HzqWEdAbzcVFDv0pvxV4w,Maluma,Sobrio,109,-1,1,6373836,7/15/2021
192,spotify:track:2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Softcore,35,179,28,5756633,7/21/2021
173,spotify:track:3KdoeNlEN0BoAKWzaRLNZa,Lorde,Solar Power,25,111,4,5234112,7/8/2021
60,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,4,70,131,8880547,7/8/2021
62,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,4,60,132,8806474,7/15/2021
67,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,4,62,133,8689953,7/22/2021
70,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,4,67,134,8490162,7/29/2021
122,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,4,124,185,6925050,7/21/2021
113,spotify:track:2H7jZg2HliuQhZjfBblLrZ,Pashanim,Sommergewitter,105,105,2,6392139,7/8/2021
145,spotify:track:2H7jZg2HliuQhZjfBblLrZ,Pashanim,Sommergewitter,105,113,3,5758328,7/15/2021
166,spotify:track:2H7jZg2HliuQhZjfBblLrZ,Pashanim,Sommergewitter,105,145,4,5627519,7/22/2021
100,spotify:track:7MXVkk9YMctZqd1Srtv4MB,The Weeknd,Starboy,1,122,94,7497853,7/21/2021
200,spotify:track:5gDWsRxpJ2lZAffh5p7K0w,The Weeknd,Stargirl Interlude,200,-1,1,5632919,7/21/2021
2,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI,STAY with Justin Bieber,2,3,2,44889152,7/22/2021
2,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI,STAY with Justin Bieber,2,2,3,47248719,7/29/2021
3,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI,STAY with Justin Bieber,3,-1,1,43686697,7/15/2021
