rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,week
82,spotify:track:65OVbaJR5O1RmwOQx0875b,Drake,Wants and Needs feat Lil Baby,6,79,21,7637626,7/29/2021
145,spotify:track:4Oun2ylbjFKMPTiaSbbCih,Cardi B,WAP feat Megan Thee Stallion,1,147,48,5656634,7/8/2021
156,spotify:track:4Oun2ylbjFKMPTiaSbbCih,Cardi B,WAP feat Megan Thee Stallion,1,145,49,5553798,7/15/2021
169,spotify:track:4Oun2ylbjFKMPTiaSbbCih,Cardi B,WAP feat Megan Thee Stallion,1,173,51,5386268,7/29/2021
173,spotify:track:4Oun2ylbjFKMPTiaSbbCih,Cardi B,WAP feat Megan Thee Stallion,1,156,50,5524812,7/22/2021
134,spotify:track:2pPO9YecZimmuVQfIzfV6U,Ofenbach,Wasted Love feat Lagique,90,139,15,5833896,7/8/2021
137,spotify:track:2pPO9YecZimmuVQfIzfV6U,Ofenbach,Wasted Love feat Lagique,90,134,16,5860774,7/15/2021
143,spotify:track:2pPO9YecZimmuVQfIzfV6U,Ofenbach,Wasted Love feat Lagique,90,137,17,5941214,7/22/2021
146,spotify:track:2pPO9YecZimmuVQfIzfV6U,Ofenbach,Wasted Love feat Lagique,90,143,18,5690260,7/29/2021
101,spotify:track:48WidxP9CqyYtk97pwGZ3c,Brent Faiyaz,Wasting Time feat Drake and The Neptunes ,101,-1,1,6731106,7/8/2021
32,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,4,32,86,12747127,7/8/2021
34,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,4,37,88,12629912,7/22/2021
35,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,4,34,89,11996689,7/29/2021
37,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,4,32,87,12431564,7/15/2021
55,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,4,48,140,10280865,7/21/2021
93,spotify:track:1diS6nkxMQc3wwC4G1j0bh,Dua Lipa,Were Good,22,92,21,6972480,7/8/2021
113,spotify:track:1diS6nkxMQc3wwC4G1j0bh,Dua Lipa,Were Good,22,93,22,6318660,7/15/2021
149,spotify:track:1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,6,168,46,5857300,7/22/2021
158,spotify:track:1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,6,149,47,5570735,7/29/2021
168,spotify:track:1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,6,171,45,5416902,7/15/2021
