rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
45,spotify:track:59nOXPmaKlBfGMDeOVGrIK,Future Drake Tems,WAIT FOR U feat Drake and Tems,Epic Freebandz,10,47,11,10767760
46,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B,Dandelions,Columbia,34,49,48,10766728
47,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,29,48,98,10570057
48,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,4,50,139,10476053
49,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO Columbia,29,51,66,10250644
50,spotify:track:0oiv4E896TUTTeQU0cmIui,Drake,Massive,OVO,18,46,4,10210464
51,spotify:track:6wtZPYBIXUvCpXwVjMCJBf,PolimA Westcoast Pailita Feid Paloma Mami De La Ghetto,ULTRA SOLO REMIX,Sony Music Entertainment Chile SA,44,53,4,10184548
52,spotify:track:31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,Rimas Entertainment LLC,15,52,10,9909100
53,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,4,55,53,9862960
54,spotify:track:4hceSKjrkDTO0nMKFcb3sj,Bizarrap Villano Antillano,Villano Antillano Bzrp Music Sessions Vol 51,DALE PLAY Records,54,97,5,9730344
55,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,Atlantic Records UK,3,57,55,9709305
56,spotify:track:6DoL1yYIwEW7VZMRaJhoJI,Chris Jedi Anuel AA Chencho Corleone Ñengo Flow,La Llevo Al Cielo Ft Ñengo Flow,UMLE  Latino,56,59,8,9661420
57,spotify:track:2z9YkcLojiOE7Eu2p9lPZR,Feid,Normal,UMLE  Latino,57,-1,1,9623337
58,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,Steve Lacy,Bad Habit,LM Records RCA Records,58,-1,1,9518756
59,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,58,61,9429278
60,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,60,63,22,9385410
61,spotify:track:44XjoNvtwevktFKjvVe1vH,Bad Bunny Buscabulla,Andrea,Rimas Entertainment LLC,21,56,10,9344372
62,spotify:track:10SRMwb9EuVS1K9rYsBfHQ,BTS,Yet To Come,BIGHIT MUSIC,7,34,5,9105031
63,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,7,61,60,9104556
