Popularity,artist_names,track_name,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
4,Ed Sheeran,Beautiful People feat Khalid,['pop'],0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,197867
4,Billie Eilish,bad guy,['hip hop'],0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
4,Post Malone,Goodbyes feat Young Thug,['rap'],0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,174960
4,SAINt JHN,Roses Imanbek Remix,['rap'],0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840
4,Juice WRLD,Come and Go with Marshmello,['rap'],0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485
4,Harry Styles,Watermelon Sugar,['pop'],0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000
4,Taylor Swift,exile feat Bon Iver,['pop'],0.298,0.38,6,-8.426,1,0.0287,0.778,0.0000562,0.11,0.152,75.602,285634
4,Lil Nas X,MONTERO Call Me By Your Name,['pop'],0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818,137876
4,Ed Sheeran,Bad Habits,['pop'],0.808,0.897,11,-3.712,0,0.0348,0.0469,0.0000314,0.364,0.591,126.026,231041
4,Bad Bunny,Me Porto Bonito,['latin'],0.911,0.712,1,-5.105,0,0.0817,0.0901,0.0000268,0.0933,0.425,92.005,178567
5,Drake,In My Feelings,['hip hop'],0.735,0.482,8,-9.445,1,0.139,0.00623,0.0144,0.448,0.315,181.995,217933
5,Drake,Nonstop,['hip hop'],0.909,0.405,6,-8.133,0,0.14,0.0306,0.00698,0.105,0.455,154.984,238613
5,Cardi B,I Like It,['pop'],0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390
5,Juice WRLD,Lucid Dreams,['rap'],0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836
5,Lil Nas X,Old Town Road Remix,['pop'],0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067
5,Ed Sheeran,Beautiful People feat Khalid,['pop'],0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,197867
5,Billie Eilish,bad guy,['hip hop'],0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
5,Ed Sheeran,I Dont Care with Justin Bieber,['pop'],0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,219947
5,Harry Styles,Watermelon Sugar,['pop'],0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000
5,SAINt JHN,Roses Imanbek Remix,['rap'],0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840
5,Taylor Swift,the 1,['pop'],0.777,0.357,0,-6.942,1,0.0522,0.757,0.00000728,0.108,0.172,139.883,210252
5,Bad Bunny,Yonaguni,['latin'],0.644,0.648,1,-4.601,1,0.118,0.276,0,0.135,0.44,179.951,206710
5,Rauw Alejandro,Todo De Ti,['trap latino'],0.78,0.719,3,-3.613,0,0.0506,0.302,0.000196,0.0931,0.336,127.962,199604
5,BTS,Permission to Dance,['k pop'],0.702,0.741,9,-5.33,1,0.0427,0.00544,0,0.337,0.646,124.925,187585
5,Doja Cat,Kiss Me More feat SZA,['rap'],0.764,0.705,8,-3.463,1,0.0284,0.259,0.0000892,0.12,0.781,110.97,208667
